Iteration,My,Sigma
95,3.12987109310212,1.42079688135824
96,3.12535272452417,1.43447849389429
97,3.11179238494034,1.44563098577414
98,3.12264880900417,1.45146146875692
99,3.14275004596616,1.42679341149907
100,3.13010445615383,1.42897321977846
101,3.14480365711857,1.41739628894556
102,3.15170817754094,1.4116476194232
103,3.15957812328053,1.41415098379993
104,3.16890462132235,1.40523374281184
105,3.17270796999487,1.39716390762597
106,3.16689261187223,1.39316418431813
107,3.18200916773436,1.39428012374176
108,3.20225590228954,1.39657447590026
109,3.22004089134865,1.39011321497603
110,3.21942330162946,1.38254703039014
111,3.21993043274869,1.37640054619601
112,3.22942521776069,1.37916317752323
113,3.24356938717808,1.37176455959095
114,3.24320528721303,1.37251441805355
115,3.24338521175645,1.36198577257861
116,3.22548644081203,1.37569917434777
117,3.24481654833057,1.39000581702585
118,3.24190215399397,1.38652547564512
119,3.24578470552987,1.3721331217268
120,3.25282598343151,1.36174570825762
121,3.26360632771679,1.36400656809516
122,3.26616099430383,1.3794609940003
123,3.2595710414662,1.38980732801588
124,3.25649421599884,1.38821564466032
125,3.25649421599884,1.38821564466032
126,3.26011923562805,1.38208929999871
127,3.26488184734534,1.38693204705798
128,3.25833054344673,1.36994429918547
129,3.26813994748408,1.38287254869493
130,3.26980567744735,1.35647040776641
131,3.25586585738613,1.33565385284726
132,3.25586585738613,1.33565385284726
133,3.25722135932787,1.32116988459199
134,3.24650633500528,1.31438216179862
135,3.24650633500528,1.31438216179862
136,3.24037302120825,1.30475768463829
137,3.24037302120825,1.30475768463829
138,3.23655468845167,1.3127556942896
139,3.22763618688542,1.30416718487532
140,3.22979695003739,1.31665280560144
141,3.22729451555529,1.31861401905058
142,3.22875589922821,1.31577487069924
143,3.23362011843523,1.30802371758723
144,3.23386484207696,1.33273469444026
145,3.22576381792144,1.34943309378457
146,3.23162544840278,1.34487985586615
147,3.22326243456354,1.34554266861225
148,3.22326243456354,1.34554266861225
149,3.21704470654093,1.34001453539106
150,3.21474752013036,1.34472968689978
151,3.21069156776193,1.34995552829855
152,3.20072075799985,1.36150422820831
153,3.19110935101864,1.35259052091183
154,3.19862741606263,1.35241852766665
155,3.18366738184504,1.34902653398374
156,3.18176319251566,1.35462093749811
157,3.18176319251566,1.35462093749811
158,3.16631804110804,1.36108016033642
159,3.17118394656341,1.36418515132885
160,3.16974811369157,1.36346198360608
161,3.17280076917113,1.36136498722243
162,3.15518968751622,1.37499227031014
163,3.15669650110093,1.361742763265
164,3.16943738650694,1.3603875624511
165,3.16691899272413,1.35595735789804
166,3.16853277911792,1.36543974212106
167,3.16803205505443,1.37842834514304
168,3.179134288677,1.37021124905767
169,3.17064267556156,1.36271648403782
170,3.18804727698531,1.36560668375833
171,3.19221238660717,1.37704511609959
172,3.204311372339,1.37318541047683
173,3.21600102124478,1.38191833084596
174,3.20878176284397,1.37490770776967
175,3.20878176284397,1.37490770776967
176,3.22137729207486,1.36441140951932
177,3.22742339446303,1.36404186576233
178,3.21103550882892,1.35247347157815
179,3.20456447389738,1.35135728445982
180,3.19685135884332,1.35733114964151
181,3.20351696368316,1.34611074291237
182,3.22309631803985,1.35682218497943
183,3.24378521996715,1.3578823966018
184,3.24378521996715,1.3578823966018
185,3.22533643143507,1.35710086558405
186,3.22302736806833,1.35919520560295
187,3.22712286401685,1.36733872435961
188,3.23442664217159,1.37066932264781
189,3.23457806165864,1.3642133627213
190,3.2266790345825,1.35194006634372
191,3.2208913142863,1.3397258361465
192,3.2061918947668,1.34131899692027
193,3.20111430559646,1.33022364312423
194,3.18474697618238,1.335168913707
195,3.18921511693834,1.32854135893725
196,3.19575300157475,1.32183220995142
197,3.20086767146289,1.31807452667245
198,3.19653956209228,1.337460959367
199,3.17977645126375,1.33616184277465
200,3.16947724782648,1.34196491292675
201,3.17049683275326,1.35134945989922
202,3.17528515153632,1.35302204694373
203,3.19219497245321,1.36102378995275
204,3.19219497245321,1.36102378995275
205,3.20711686088135,1.36040214272487
206,3.21028906821794,1.36893098661039
207,3.2042688929041,1.37802923831088
208,3.20727490435609,1.38200225444867
209,3.19961560741407,1.37880834665789
210,3.19841811066831,1.37824655263324
211,3.18423481061868,1.36899147265201
212,3.1966194890838,1.36822242896893
213,3.20346209359037,1.37025734471935
214,3.22088600755181,1.38561809399411
215,3.19107437979096,1.37615781268575
216,3.18658217096947,1.37580740685011
217,3.18658217096947,1.37580740685011
218,3.20663212894531,1.38836666696629
219,3.20469999659828,1.34931895147184
220,3.2087403506874,1.33552304740324
221,3.20900681823068,1.35183339618907
222,3.20427130769403,1.35062782311851
223,3.20427130769403,1.35062782311851
224,3.21190639933015,1.3544416007949
225,3.20481542402627,1.35792593640079
226,3.1879852258041,1.38498227409736
227,3.17906748998595,1.3853198471118
228,3.1747925687051,1.38227707421465
229,3.16802275842418,1.38496356450564
230,3.17044136891504,1.38891575501981
231,3.19381915059074,1.39608976033499
232,3.19582683156698,1.39439406928823
233,3.19962367230112,1.4006950888174
234,3.19522137996286,1.40514940210391
235,3.18775883699702,1.41747844303687
236,3.20666017818124,1.41922020714411
237,3.18737876228994,1.42188479698656
238,3.18138475000375,1.4253100193938
239,3.17563811300698,1.42851871080728
240,3.18809472702129,1.43491052330713
241,3.19184921157342,1.42247096239615
242,3.18720255938763,1.43009786926358
243,3.18005833731296,1.41265772662841
244,3.17582356992009,1.43467337792048
245,3.19177522721746,1.4351024289694
246,3.19554831395676,1.4419845820967
247,3.18211100659167,1.42859234446087
248,3.16478994105902,1.43926286950962
249,3.15150853501416,1.44222500747262
250,3.1332699273585,1.4488700735853
251,3.15676676214288,1.44467153297223
252,3.15543593932638,1.41834718937388
253,3.15767642148103,1.40964916169583
